Poi_Name,Street_Nam,House_numb,Postcode,Telephone_,Email_addr,Website_ad,Poi_id,Location_a,Easting,Northing,Height,School_typ,Category_1,Category,Number_of_,Branch_nam,No_name,Poi_pictur,Poi_pict_1,,,,,,,,,,
Lake Town Guest House,Nike Lake Road,0,400,,,,POI001271,2,7.516302,6.512168,214.600006,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Lavida Suites,Nza Street,3,400,,,,POI001148,2,7.521868,6.449999,219.899994,,Hospitality Business,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa2cc79bc-ba44-46b6-b20c-8a38cddf4b3f%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aa2cc79bc-ba44-46b6-b20c-8a38cddf4b3f%5D%2FPOI_Picture2,,,,,,,,,,
Life Cycle Motel,Upper Chime Avenue,199,400,,,,POI001154,2,7.533822,6.458043,191,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Mankind Resort,Ugwuaji Fly Over,0,400,,,,POI001158,2,7.530969,6.416104,196.199997,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Mavis Hotel,CBN Road,2,400,7068086544,,,POI001301,5,7.499449,6.473556,233.5,,Hospitality Business,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab279c59d-6e5d-4cf6-a1c7-3b4eb8d5d283%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab279c59d-6e5d-4cf6-a1c7-3b4eb8d5d283%5D%2FPOI_Picture2,,,,,,,,,,
Quixotel Luxury Rooms And Suites,Ogui Road,81,400,,,,POI001254,3,7.498588,6.445989,233.899994,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Rivonia Hotel,Nwakanwa Street,0,400,,,,POI001221,2,7.524886,6.431548,240.100006,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Sahara Restaurant,Ezillo Street,0,400,,,,POI001358,4,7.525276,6.444779,226.399994,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Skyvilla,Nike Lake Road,0,400,"08163292991, 07054670000",,,POI001273,2,7.504346,6.491788,218.199997,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Stephanie's Court Hotel,Chime Avenue,122,400,7036777321,,,POI001401,5,7.527725,6.457995,191.100006,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Swissvilla Hotel And Spa,Ezillo Street,0,400,8035725390,swissvillahotels&sp@yahoo.com,,POI001315,5,7.529016,6.445411,228,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Toscana Hotel,Aguleri Street,1,400,7038705101,,,POI001133,2,7.524243,6.442746,221,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Victoria Suites,Nike Lake Road,0,400,,,,POI001278,3,7.500674,6.485508,245.899994,,Hospitality Business,Christianity,,,,,,,,,,,,,,,
Voyage Bay Guest House,Ezefi Road,1,400,8030984741,,,POI001157,2,7.52932,6.413652,185.600006,,Hospitality Business,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afc90c7dd-8b19-4584-9ddb-5d014eaf63f4%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afc90c7dd-8b19-4584-9ddb-5d014eaf63f4%5D%2FPOI_Picture2,,,,,,,,,,
Zanzibar,Independence Avenue,1,400,,,,POI001134,2,7.524759,6.442757,219.399994,,Hospitality Business,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8bfe3203-93e8-4be7-a1ee-dafbcf1c43e4%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8bfe3203-93e8-4be7-a1ee-dafbcf1c43e4%5D%2FPOI_Picture2,,,,,,,,,,
Bonak Art Gallery,Chime Avenue,0,400,,,,POI016790,2,7.52063,6.458462,207.399994,,Historical Monument/Artifacts,service,,,Others,,,,,,,,,,,,
Equalright Art Gallery,Nike Road Abakpa,140,400,8035822972,,,POI011628,2,7.51516,6.488894,210.800003,,Historical Monument/Artifacts,Retail,,,Others,,,,,,,,,,,,
Animal Fit Konsult Veterinary Service,Nike Lake Road,2,400,8176719222,,,POI011027,2,7.50164,6.48126,226.899994,,Health Facility,Retail,,,Others,,,,,,,,,,,,
Aso Laboratories,Agbani Road,106,400,,,,POI004106,5,7.492581,6.417045,245.5,,Health Facility,Others,,,Health,,,,,,,,,,,,
Berean Radiological Centre,Amuri Road,47,400,7023001619,,,POI011323,3,7.509622,6.482051,220.600006,,Health Facility,Retail,,,Health,,,,,,,,,,,,
Cynsoki Medical Laboratories,Amuri Road,0,400,,,,POI014909,5,7.50938,6.482053,234.5,,Health Facility,Retail Wholesale,,,Health,,,,,,,,,,,,
Dentslyn Dental Clinic,Umuawulu Street,0,400,,,,POI007585,2,7.522093,6.434331,233.699997,,Health Facility,Retail,,,Health,,,,,,,,,,,,
Dona Pharmacy,Abakaliki Road,0,400,8098259609,,,POI002226,5,7.524821,6.464142,209.600006,,Health Facility,Manufacturing,,,Health,,,,,,,,,,,,
Ekochin Industrial Hospital,Old Abakiliki Road,0,400,,,,POI001654,2,7.544836,6.464061,198.899994,,Health Facility,Christianity,,,,,,,,,,,,,,,
Enugu State Medical Diagnostic Centre,Okpara Avenue,0,400,,,,POI001684,2,7.495014,6.455627,225,,Health Facility,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab3cbf237-b2e2-4032-aaf9-ccb12df98f08%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab3cbf237-b2e2-4032-aaf9-ccb12df98f08%5D%2FPOI_Picture2,,,,,,,,,,
Enugu State Medical Emergency Response Team,Ogui Road,0,400,8050252525,,,POI032241,5,7.509766,6.459012,205.199997,Others,Health Facility,,,,,,,,,,,,,,,,
First Dental Consultants Dental Centre,Ogui Road,184,400,,,,POI001989,5,7.50105,6.4492,217.199997,,Health Facility,Federal Government Parastatal,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0c1205b3-25c1-41e3-b04d-1f25c331cdfa%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0c1205b3-25c1-41e3-b04d-1f25c331cdfa%5D%2FPOI_Picture2,,,,,,,,,,
Grace Foundation Clinic,Old Airport Road,0,400,,,,POI001639,2,7.529785,6.465933,216.399994,,Health Facility,Christianity,,,,,,,,,,,,,,,
Hiltops Clinics,Aguowa,2,400,,,,POI001907,5,7.500836,6.473831,221.899994,,Health Facility,Federal Government Parastatal,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca95fff7-5ccb-4cf4-9a90-1ae169755834%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aca95fff7-5ccb-4cf4-9a90-1ae169755834%5D%2FPOI_Picture2,,,,,,,,,,
Lorence Specialist Hospital,Zik Avenue,37,400,,,,POI002006,5,7.493938,6.432391,266.700012,,Health Facility,Islam,,,,,,,,,,,,,,,
Moonlight Clinic And Maternity,Agbani Road,61,400,,,,POI002036,5,7.479638,6.424445,245.600006,,Health Facility,Manufacturing,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aaf26cc1f-3d56-4320-a6e6-694547dbc82f%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aaf26cc1f-3d56-4320-a6e6-694547dbc82f%5D%2FPOI_Picture2,,,,,,,,,,
Mount Carmel Specialist Hospital,Chime Avenue,119,400,,,,POI001857,2,7.521686,6.458389,210.399994,,Health Facility,Federal Government Ministry,,,,,,,,,,,,,,,
National Orthopedic Hospital Enugu,Abakaliki Road,0,400,,,,POI001960,5,7.523281,6.464781,213.699997,,Health Facility,Federal Government Parastatal,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A679cfb3c-a018-4dfb-b330-8ee1b76a66ef%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A679cfb3c-a018-4dfb-b330-8ee1b76a66ef%5D%2FPOI_Picture2,,,,,,,,,,
Neo Hospital,Nza Street,27,400,8167146457,,,POI001637,2,7.523976,6.451085,200.899994,,Health Facility,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1705280f-0cd2-4bb7-931d-55ffdf1f59a0%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1705280f-0cd2-4bb7-931d-55ffdf1f59a0%5D%2FPOI_Picture2,,,,,,,,,,
Neo Hospital And Dialysis Center,Nza Street,27,400,8167146457,,,POI001914,5,7.524486,6.451158,201.199997,,Health Facility,Federal Government Parastatal,,,,,,,,,,,,,,,
Neo Hospital And Dialysis Centre,Nza Street,27,400,8167146457,,,POI001676,2,7.524101,6.45115,201.800003,,Health Facility,Christianity,,,,,,,,,,,,,,,
Neo Hospital Anddialysis Centre,Nza Street,27,400,8167146457,,,POI001676,2,7.524101,6.45115,201.800003,,Health Facility,Christianity,,,,,,,,,,,,,,,
Niger Optical Service Co Nig Ltd,Zik Avenue,39,400,,,,POI002027,5,7.493716,6.432162,296.799988,,Health Facility,Manufacturing,,,,,,,,,,,,,,,
Niger Optical Services Co Nig Ltd (Eye Clinic),Zik Avenue,39,400,,,,POI001815,2,7.493845,6.431958,235.800003,,Health Facility,Federal Government Ministry,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac0441149-bb00-454b-807d-29bc7790dfbf%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac0441149-bb00-454b-807d-29bc7790dfbf%5D%2FPOI_Picture2,,,,,,,,,,
Peenok  Medical Centre,Zik Avenue,0,400,,,,POI001816,2,7.494457,6.434825,224.699997,,Health Facility,Federal Government Ministry,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afa62ab13-52bb-4d55-b750-0868dcdfe7f6%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afa62ab13-52bb-4d55-b750-0868dcdfe7f6%5D%2FPOI_Picture2,,,,,,,,,,
Polytes Medical Laboratories,Coal Camp / Agbani Road,71,400,,,,POI001974,5,7.480224,6.42336,258.799988,,Health Facility,Federal Government Parastatal,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad16f8fcf-b790-4bea-a84f-f0a82c85e3df%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad16f8fcf-b790-4bea-a84f-f0a82c85e3df%5D%2FPOI_Picture2,,,,,,,,,,
Posh Hospital,Chime Avenue,0,400,,,,POI001840,2,7.523873,6.458044,210.300003,,Health Facility,Federal Government Ministry,,,,,,,,,,,,,,,
Primecare Hospital,Amuri Road,108,400,,,,POI001781,2,7.502038,6.482139,232.899994,,Health Facility,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0fc25056-9229-4342-a7da-39abfba177f7%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0fc25056-9229-4342-a7da-39abfba177f7%5D%2FPOI_Picture2,,,,,,,,,,
"Reggie Ear, Nose, Throat Clinic",Agbani Road,100,400,,,,POI002004,5,7.49168,6.417259,240.600006,,Health Facility,Islam,,,,,,,,,,,,,,,
St Leoâ·S Hospital,Nike Lake Road Transekulu,57,400,8054227816,,,POI001782,5,7.500363,6.483722,242.899994,,Health Facility,Christianity,,,,,,,,,,,,,,,
State Health Board Asata Sub-District Hospital,Ilukwe Street,0,400,,,,POI001919,5,7.500521,6.442684,203.899994,,Health Facility,Federal Government Parastatal,,,,,,,,,,,,,,,
The True Vine Clinic,Agbani Road,184,400,,,,POI002018,4,7.495567,6.410713,225.899994,,Health Facility,Manufacturing,,,,,,,,,,,,,,,
Ubabike Hospital,Agbani Road,238,400,,,,POI001665,2,7.494786,6.404948,222.399994,,Health Facility,Christianity,,,,,,,,,,,,,,,
Victoria Hospital And Maternity Home,Zik Avenue,154,400,8023222082,,,POI002021,5,7.487142,6.422346,242.300003,,Health Facility,Manufacturing,,,,,,,,,,,,,,,
Favor Medical Clinic,Agbani Road,347,400,8083392394,,,POI006087,2,7.493591,6.385341,233.899994,,Health Facility,Retail,,,Health,,,,,,,,,,,,
FRSC Medical Examination Center For Commercial Driver Medical Test For Issuance Of Commercial Driver License,Nike Lake Road,49,400,,,,POI000788,5,7.516774,6.48299,212.699997,,Health Facility,Christianity,,,,,,,,,,,,,,,
Harmatta Medicals,Zik Avenue,159,400,,,,POI004084,5,7.48784,6.422882,248.5,,Health Facility,Others,,,Health,,,,,,,,,,,,
Healthy Living Pharmacy And Stores,Nike Lake Road,79,400,,,,POI009980,5,7.501388,6.487012,216.899994,,Health Facility,Retail,,,Health,,,,,,,,,,,,
Well Gate Pharmacy,Nike Lake Road,0,400,"08184813678, 07035206099",,,POI011709,2,7.504516,6.492116,211.199997,,Health Facility,Retail,,,Health,,,,,,,,,,,,
Board Of Internal Revenue (Motor Licensing Office),Presidential Road,0,400,,,,POI014632,2,7.506764,6.440809,209.100006,,Government Parastatals,Retail Wholesale,,,Trade_Union_Professional_Body,,,,,,,,,,,,
Community Resource  Centre,Upper Presidential Road,0,400,42300554,,www.crcnigeria.org,POI000638,2,7.519354,6.436841,235.100006,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A232fc35f-ab45-416d-a666-37345e9c5d6d%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A232fc35f-ab45-416d-a666-37345e9c5d6d%5D%2FPOI_Picture2,,,,,,,,,,
Constituency Office Enugu East Urban,Amuri Road,0,400,,,,POI000732,3,7.504173,6.481978,235.100006,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad4223e13-1053-4596-bbcb-4119efe9c7c6%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad4223e13-1053-4596-bbcb-4119efe9c7c6%5D%2FPOI_Picture2,,,,,,,,,,
Economic And Social Empowerment Of Rural Communities,Nza Street,15,400,,,,POI000587,2,7.522306,6.450198,218.100006,,Government Parastatals,Christianity,,,,,,,,,,,,,,,
Enugu North Local Government Headquaters,Okpara Avenue,0,400,,,,POI001012,5,7.486164,6.438371,263.200012,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A59b2a5f3-1dbd-4806-8261-f617c91b3d1f%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A59b2a5f3-1dbd-4806-8261-f617c91b3d1f%5D%2FPOI_Picture2,,,,,,,,,,
Enugu State Fire Service,Ogii Road,0,400,7065409291,,,POI000983,5,7.509684,6.458365,224.399994,,Government Parastatals,Christianity,,,,,,,,,,,,,,,
Enugu State Universal  Education Board,Fsp Avenue Upper Presidential Rd Ind.Layout,0,400,42451355,,,POI000641,2,7.519825,6.436195,253.399994,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae0179f46-9519-446b-b868-4d9df34e9033%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae0179f46-9519-446b-b868-4d9df34e9033%5D%2FPOI_Picture2,,,,,,,,,,
Federal Ministry Of Agriculture And Rural Development (South East Office),Presidential Road,0,400,,,,POI000668,2,7.518904,6.437305,243.600006,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A50aa0f76-5cb5-42df-ab75-1450edeeedce%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A50aa0f76-5cb5-42df-ab75-1450edeeedce%5D%2FPOI_Picture2,,,,,,,,,,
House Of Assembly,Presidential Road,0,400,,,,POI000654,2,7.517722,6.438328,242.100006,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afe760a44-96b1-4d92-bb5d-68fe0adfc0d7%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afe760a44-96b1-4d92-bb5d-68fe0adfc0d7%5D%2FPOI_Picture2,,,,,,,,,,
National Insuarance Commission,Ibusa Avenue,15,400,,,,POI000581,2,7.537349,6.448473,193.300003,,Government Parastatals,Christianity,,,,,,,,,,,,,,,
Nigeria Custom Head Quarters Enugu,Presidential Road,0,400,,,,POI000755,5,7.508493,6.441189,232.899994,,Government Parastatals,Christianity,,,,,,,,,,,,,,,
Nigeria Export Promotion Council,Presidential Road,0,400,,,,POI000667,2,7.521196,6.434965,234.199997,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acdca70f1-bb24-42ce-b8e3-5b19c1aed629%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acdca70f1-bb24-42ce-b8e3-5b19c1aed629%5D%2FPOI_Picture2,,,,,,,,,,
Nigeria Immigration Service,Abakaliki Expressway,0,400,,,,POI000714,2,7.581124,6.461256,152.800003,,Government Parastatals,Christianity,,,,,,,,,,,,,,,
Office Of The Special Adviser To The Governor,Nza Street,6,400,,,,POI000669,2,7.520499,6.449277,235.699997,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acf19a491-515d-4435-9320-ed3ff8fd39fd%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acf19a491-515d-4435-9320-ed3ff8fd39fd%5D%2FPOI_Picture2,,,,,,,,,,
State Central Library,Market Road,0,400,,,,POI032370,5,7.491136,6.435753,209.899994,Others,Government Parastatals,,,,,,,,,,,,,,,,
State UNDP Desk Office,Nza Street,6,400,,undpenugu@yahoo.com,,POI000670,2,7.520472,6.449256,240,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab7d17d55-4a8a-4423-bbb9-ecb773e82331%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab7d17d55-4a8a-4423-bbb9-ecb773e82331%5D%2FPOI_Picture2,,,,,,,,,,
Ujodo Development Center Enugu East Lga,Abakaliki Expressway,0,400,,,,POI000691,3,7.584057,6.462633,152.300003,,Government Parastatals,Christianity,,,,,,,,,,,,,,,
Ujodo Town Planning Authority,Abakaliki Expressway,0,400,,,,POI031581,2,7.58382,6.462626,148.199997,Others,Government Parastatals,,,,,,,,,,,,,,,,
Government Of Enugu State Office Of Auditor General,Garden Avenue,2,400,042-258864,,,POI001049,5,7.491178,6.44584,235.5,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6829acf8-3990-4d6b-82a4-c34be9cc64db%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6829acf8-3990-4d6b-82a4-c34be9cc64db%5D%2FPOI_Picture2,,,,,,,,,,
Independent Corrupt Practice And Other Related Offences Commission,Ezillo Street,55,400,,,,POI000931,4,7.534779,6.449477,189.5,,Government Parastatals,Christianity,,,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acabc4bcb-6471-46dd-85fd-84a007fd3256%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acabc4bcb-6471-46dd-85fd-84a007fd3256%5D%2FPOI_Picture2,,,,,,,,,,
Access Bank,Agbani Road,182,400,,,,POI001514,4,7.49574,6.411307,234.899994,,Financial Institution,Christianity,2,Agbani road,,,,,,,,,,,,,
Access Bank,Okpara Avenue,0,400,,,,POI001567,4,7.494248,6.453484,221.399994,,Financial Institution,Christianity,4,okpara ave,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab3fc3a31-dc22-43b0-8712-f1ae5ad461a2%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab3fc3a31-dc22-43b0-8712-f1ae5ad461a2%5D%2FPOI_Picture2,,,,,,,,,,
Bank Of Agriculture,Presidential Road,0,400,,,,POI001564,2,7.521083,6.435079,233.699997,,Financial Institution,Christianity,0,Presitential Road,,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac62fa94f-e9b7-4d81-8f9f-258b9ce03b40%5D%2FPOI_Picture1,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac62fa94f-e9b7-4d81-8f9f-258b9ce03b40%5D%2FPOI_Picture2,,,,,,,,,,
